HGNC ID	Approved Symbol	Approved Name	Entrez Gene ID	Entrez Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)
HGNC:5	A1BG	alpha-1-B glycoprotein	1	1	ENSG00000121410
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	503538	503538	ENSG00000268895
HGNC:24086	A1CF	APOBEC1 complementation factor	29974	29974	ENSG00000148584
HGNC:6	A1S9T~withdrawn	symbol withdrawn, see UBA1			
HGNC:7	A2M	alpha-2-macroglobulin	2	2	ENSG00000175899
HGNC:27057	A2M-AS1	A2M antisense RNA 1	144571	144571	ENSG00000245105
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	144568	144568	ENSG00000166535
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1		100874108	ENSG00000256661
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2		106478979	ENSG00000256904
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	3	3	ENSG00000256069
HGNC:9	A2MR~withdrawn	symbol withdrawn, see LRP1			
HGNC:10	A2MRAP~withdrawn	symbol withdrawn, see LRPAP1			
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	127550	127550	ENSG00000184389
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947	53947	ENSG00000128274
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	51146	ENSG00000118017
HGNC:1	A12M1~withdrawn	entry withdrawn			
HGNC:2	A12M2~withdrawn	entry withdrawn			
HGNC:3	A12M3~withdrawn	entry withdrawn			
HGNC:4	A12M4~withdrawn	entry withdrawn			
HGNC:11	AA~withdrawn	symbol withdrawn, see TEAD1			
HGNC:13666	AAAS	aladin WD repeat nucleoporin	8086	8086	ENSG00000094914
HGNC:12	AABT~withdrawn	entry withdrawn			
HGNC:13	AAC1~withdrawn	symbol withdrawn, see NAT1			
HGNC:14	AAC2~withdrawn	symbol withdrawn, see NAT2			
HGNC:21298	AACS	acetoacetyl-CoA synthetase	65985	65985	ENSG00000081760
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522	729522	ENSG00000250420
HGNC:13792	AACT~withdrawn	symbol withdrawn, see SERPINA3			
HGNC:17	AADAC	arylacetamide deacetylase	13	13	ENSG00000114771
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	344752	344752	ENSG00000197953
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	101928142	101928142	ENSG00000242908
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	126767	126767	ENSG00000188984
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	343066	343066	ENSG00000204518
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	201651	201651	ENSG00000240602
HGNC:17929	AADAT	aminoadipate aminotransferase	51166	51166	ENSG00000109576
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	79719	79719	ENSG00000103591
HGNC:19679	AAK1	AP2 associated kinase 1	22848	22848	ENSG00000115977
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	28971	28971	ENSG00000087884
HGNC:18	AAMP	angio associated migratory cell protein	14	14	ENSG00000127837
HGNC:19	AANAT	aralkylamine N-acetyltransferase	15	15	ENSG00000129673
HGNC:15886	AAR2	AAR2 splicing factor homolog	25980	25980	ENSG00000131043
HGNC:33842	AARD	alanine and arginine rich domain containing protein	441376	441376	ENSG00000205002
HGNC:20	AARS	alanyl-tRNA synthetase	16	16	ENSG00000090861
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	57505	ENSG00000124608
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	80755	ENSG00000266967
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1		106480683	ENSG00000249038
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	132949	ENSG00000157426
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	60496	ENSG00000149313
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	10157	10157	ENSG00000008311
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	284837	284837	ENSG00000215458
HGNC:19235	AATF	apoptosis antagonizing transcription factor	26574	26574	ENSG00000275700
HGNC:21	AATK	apoptosis associated tyrosine kinase	9625	9625	ENSG00000181409
HGNC:22	AAVS1	adeno-associated virus integration site 1	17	17	
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	103021294	103021294	ENSG00000281376
HGNC:23	ABAT	4-aminobutyrate aminotransferase	18	18	ENSG00000183044
HGNC:24	ABC1~withdrawn	symbol withdrawn, see ABCA1			
HGNC:25	ABC2~withdrawn	symbol withdrawn, see ABCA2			
HGNC:26	ABC3~withdrawn	symbol withdrawn, see ABCA3			
HGNC:28	ABC7~withdrawn	symbol withdrawn, see ABCB7			
HGNC:27	ABC50~withdrawn	symbol withdrawn, see ABCF1			
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	19	19	ENSG00000165029
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	20	20	ENSG00000107331
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	21	21	ENSG00000167972
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	24	24	ENSG00000198691
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	23461	23461	ENSG00000154265
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	23460	23460	ENSG00000154262
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	10347	10347	ENSG00000064687
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	10351	10351	ENSG00000141338
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	10350	10350	ENSG00000154258
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1		104355297	ENSG00000231749
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	10349	10349	ENSG00000154263
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963	79963	ENSG00000251595
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	26154	26154	ENSG00000144452
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	154664	154664	ENSG00000179869
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655	650655	ENSG00000238098
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	5243	5243	ENSG00000085563
HGNC:11563	ABCB2~withdrawn	symbol withdrawn, see TAP1			
HGNC:11564	ABCB3~withdrawn	symbol withdrawn, see TAP2			
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	5244	5244	ENSG00000005471
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	340273	340273	ENSG00000004846
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	10058	ENSG00000115657
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	22	22	ENSG00000131269
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	11194	11194	ENSG00000197150
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	23457	23457	ENSG00000150967
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	23456	23456	ENSG00000135776
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	56476	56476	ENSG00000274099
HGNC:31128	ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1			
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	728248	728248	ENSG00000261524
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	100132289	100132289	ENSG00000260053
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	8647	8647	ENSG00000073734
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	4363	4363	ENSG00000103222
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	1244	1244	ENSG00000023839
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	8714	8714	ENSG00000108846
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	10257	10257	ENSG00000125257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	10057	10057	ENSG00000114770
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1		100873982	ENSG00000223882
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	368	368	ENSG00000091262
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	653190	653190	ENSG00000256340
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	730013	730013	ENSG00000255277
HGNC:58	ABCC7~withdrawn	symbol withdrawn, see CFTR			
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	6833	6833	ENSG00000006071
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	10060	10060	ENSG00000069431
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	89845	89845	ENSG00000124574
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	85320	85320	ENSG00000121270
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	94160	94160	ENSG00000140798
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000	150000	ENSG00000243064
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	215	215	ENSG00000101986
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	23785	23785	
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	26983	26983	ENSG00000215151
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	26982	26982	ENSG00000261233
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	26957	26957	ENSG00000225293
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	642762	642762	ENSG00000214330
